Molecule,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,mol,mol_prepared
<rdkit.Chem.rdchem.Mol object at 0x30018b7d0>,c1ccc(Nc2nc(N[C@H]3CC[C@H](Oc4cnccn4)CC3)nc3nc[nH]c23)cc1,s_27____12806124____10803818,402.5,2.752761947666667,6,8,3,1261,0.8085106382978723,<rdkit.Chem.rdchem.Mol object at 0x3030ec040>,<rdkit.Chem.rdchem.Mol object at 0x3030f1540>
<rdkit.Chem.rdchem.Mol object at 0x30016b370>,c1ccc(Nc2nc(N[C@H]3C[C@@H](Oc4ccccc4)C3)nc3nc[nH]c23)cc1,s_27____12060302____10803818,372.4,3.5589239296666664,6,6,3,1193,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ed380>,<rdkit.Chem.rdchem.Mol object at 0x3030f13f0>
<rdkit.Chem.rdchem.Mol object at 0x3001ce0a0>,c1ccc(Nc2nc(NCCCOc3ccncc3)nc3nc[nH]c23)cc1,s_27____8925170____10803818,361.4,2.333282567,8,7,3,1366,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec120>,<rdkit.Chem.rdchem.Mol object at 0x3030f2d50>
<rdkit.Chem.rdchem.Mol object at 0x177639a80>,c1ccc(Nc2nc(N[C@H]3C[C@@H](COc4ccccc4)C3)nc3nc[nH]c23)cc1,s_27____16536078____10803818,386.5,4.019524678333333,7,6,3,572,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec190>,<rdkit.Chem.rdchem.Mol object at 0x3030f1230>
<rdkit.Chem.rdchem.Mol object at 0x30014a8f0>,COc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____25521510____10803818,377.4,2.710109092333334,8,8,3,1116,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec200>,<rdkit.Chem.rdchem.Mol object at 0x3030f2ce0>
<rdkit.Chem.rdchem.Mol object at 0x300148c80>,COc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____1323026____10803818,390.4,3.3932837283333335,9,7,3,1088,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec270>,<rdkit.Chem.rdchem.Mol object at 0x3030f1150>
<rdkit.Chem.rdchem.Mol object at 0x30012e880>,COc1ccccc1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____2087944____10803818,390.4,3.749899014,8,7,3,1053,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec2e0>,<rdkit.Chem.rdchem.Mol object at 0x3030f2dc0>
<rdkit.Chem.rdchem.Mol object at 0x300169d20>,COc1ccccc1OCCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____3365314____10803818,390.4,3.3932837283333335,9,7,3,1169,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec350>,<rdkit.Chem.rdchem.Mol object at 0x3030f2e30>
<rdkit.Chem.rdchem.Mol object at 0x16c02ab90>,COc1cc(OC)cc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____6887428____10803818,420.5,3.2356124626666674,10,8,3,198,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec3c0>,<rdkit.Chem.rdchem.Mol object at 0x3030f2ea0>
<rdkit.Chem.rdchem.Mol object at 0x16c02af10>,c1ccc(Nc2nc(N[C@H]3CC[C@@H](Oc4ccccc4)CC3)nc3nc[nH]c23)cc1,s_27____23466166____10803818,400.5,4.593649271666667,6,6,3,202,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec4a0>,<rdkit.Chem.rdchem.Mol object at 0x3030f2f10>
<rdkit.Chem.rdchem.Mol object at 0x30016a0a0>,c1ccc(Nc2nc(NC3COc4ccccc4OC3)nc3nc[nH]c23)cc1,s_27____25523548____10803818,374.4,3.221566116,4,7,3,1173,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec580>,<rdkit.Chem.rdchem.Mol object at 0x3030f2f80>
<rdkit.Chem.rdchem.Mol object at 0x17761a260>,c1ccc(Nc2nc(N[C@H]3CCC[C@H]3Oc3ccccc3)nc3nc[nH]c23)cc1,s_27____25526428____10803818,386.5,4.4608955266666666,6,6,3,515,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec5f0>,<rdkit.Chem.rdchem.Mol object at 0x3030f2ff0>
<rdkit.Chem.rdchem.Mol object at 0x17769e7a0>,c1ccc(Nc2nc(NCCC3COc4ccccc4O3)nc3nc[nH]c23)cc1,s_27____11244338____10803818,388.4,3.281525855,6,7,3,783,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec660>,<rdkit.Chem.rdchem.Mol object at 0x3030f11c0>
<rdkit.Chem.rdchem.Mol object at 0x16bfe7290>,c1ccc(Nc2nc(NC3CCCCC3Oc3ccccc3)nc3nc[nH]c23)cc1,s_27____25526570____10803818,400.5,4.905464191666666,6,6,3,74,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec6d0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3060>
<rdkit.Chem.rdchem.Mol object at 0x17769ed50>,c1ccc(Nc2nc(NCC3COc4ccccc4O3)nc3nc[nH]c23)cc1,s_27____419562____10803818,374.4,3.221566116,5,7,3,789,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec740>,<rdkit.Chem.rdchem.Mol object at 0x3030f30d0>
<rdkit.Chem.rdchem.Mol object at 0x16c0071b0>,CC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)COc2ccccc2O1,s_27____12210936____10803818,388.4,3.5021427843333335,5,7,3,140,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec7b0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3140>
<rdkit.Chem.rdchem.Mol object at 0x1776595b0>,c1ccc(Nc2nc(NCCCOc3ccccc3)nc3nc[nH]c23)cc1,s_27____140438____10803818,360.4,3.5509549940000005,8,6,3,632,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec820>,<rdkit.Chem.rdchem.Mol object at 0x3030f2a40>
<rdkit.Chem.rdchem.Mol object at 0x16c045850>,c1ccc(Nc2nc(NCCCCOc3ccccc3)nc3nc[nH]c23)cc1,s_27____141186____10803818,374.4,4.068317665,9,6,3,244,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec890>,<rdkit.Chem.rdchem.Mol object at 0x3030f3370>
<rdkit.Chem.rdchem.Mol object at 0x300188900>,COc1ccc(OC(C)CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____6107736____10803818,390.4,3.749899014,8,7,3,1213,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec900>,<rdkit.Chem.rdchem.Mol object at 0x3030f3450>
<rdkit.Chem.rdchem.Mol object at 0x1776e6880>,CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COc1ccccc1,s_27____25541652____10803818,374.4,4.030278553333334,8,6,3,919,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec970>,<rdkit.Chem.rdchem.Mol object at 0x3030f34c0>
<rdkit.Chem.rdchem.Mol object at 0x17769f990>,C[C@H](CCOc1ccccc1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25526540____10803818,374.4,3.9675300186666664,8,6,3,803,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ec9e0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3530>
<rdkit.Chem.rdchem.Mol object at 0x16b991e70>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COc1ccccc1,s_27____654196____10803818,376.4,2.8606603130000003,8,7,4,5,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030eca50>,<rdkit.Chem.rdchem.Mol object at 0x3030f35a0>
<rdkit.Chem.rdchem.Mol object at 0x17763bd10>,CC(CCCOc1cccnc1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25557144____10803818,389.5,3.2672202626666667,9,7,3,607,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x3030ecac0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3610>
<rdkit.Chem.rdchem.Mol object at 0x16c0694d0>,Cc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)nc1,s_27____25525190____10803818,375.4,3.4411614863333337,8,7,3,306,0.76,<rdkit.Chem.rdchem.Mol object at 0x3030ecb30>,<rdkit.Chem.rdchem.Mol object at 0x3030f3680>
<rdkit.Chem.rdchem.Mol object at 0x16c06ace0>,c1ccc(Nc2nc(N3CCC[C@H]3COc3ccccc3)nc3nc[nH]c23)cc1,s_27____10690756____10803818,386.5,4.591825523000001,6,6,2,332,0.7346938775510204,<rdkit.Chem.rdchem.Mol object at 0x3030ecba0>,<rdkit.Chem.rdchem.Mol object at 0x3030f31b0>
<rdkit.Chem.rdchem.Mol object at 0x3001cd070>,c1ccc(Nc2nc(N3CCC(COc4ccccc4)C3)nc3nc[nH]c23)cc1,s_27____8600894____10803818,386.5,4.192011401666667,6,6,2,1350,0.7346938775510204,<rdkit.Chem.rdchem.Mol object at 0x3030ecc10>,<rdkit.Chem.rdchem.Mol object at 0x3030f36f0>
<rdkit.Chem.rdchem.Mol object at 0x17769c820>,c1ccc(Nc2nc(N[C@H]3COC[C@H]3Oc3ccccc3)nc3nc[nH]c23)cc1,s_27____17070036____10803818,388.4,3.392028943333333,6,7,3,750,0.7346938775510204,<rdkit.Chem.rdchem.Mol object at 0x3030ecc80>,<rdkit.Chem.rdchem.Mol object at 0x3030f3760>
<rdkit.Chem.rdchem.Mol object at 0x16c0a8c10>,c1ccc(Nc2nc(N3CCCC(COc4ccccc4)C3)nc3nc[nH]c23)cc1,s_27____19127738____10803818,400.5,4.636580066666667,6,6,2,428,0.7346938775510204,<rdkit.Chem.rdchem.Mol object at 0x3030eccf0>,<rdkit.Chem.rdchem.Mol object at 0x3030f37d0>
<rdkit.Chem.rdchem.Mol object at 0x17765ba00>,c1ccc(Nc2nc(N3CCC(COc4cccnc4)CC3)nc3nc[nH]c23)cc1,s_27____25524408____10803818,401.5,3.3773509126666665,6,7,2,671,0.7346938775510204,<rdkit.Chem.rdchem.Mol object at 0x3030ecd60>,<rdkit.Chem.rdchem.Mol object at 0x3030f3840>
<rdkit.Chem.rdchem.Mol object at 0x30012c900>,c1ccc(Nc2nc(N3CCC[C@@H]3COc3ccccc3)nc3nc[nH]c23)cc1,s_27____17551962____10803818,386.5,4.591825523000001,6,6,2,1020,0.7346938775510204,<rdkit.Chem.rdchem.Mol object at 0x3030ecdd0>,<rdkit.Chem.rdchem.Mol object at 0x3030f38b0>
<rdkit.Chem.rdchem.Mol object at 0x1776e6180>,Oc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____25544004____10803818,362.4,3.1874299333333327,7,7,4,911,0.723404255319149,<rdkit.Chem.rdchem.Mol object at 0x3030ece40>,<rdkit.Chem.rdchem.Mol object at 0x3030f3920>
<rdkit.Chem.rdchem.Mol object at 0x177658f90>,Cc1cccc(OCC(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____1671936____10803818,374.4,4.420991668999999,7,6,3,625,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030eceb0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3990>
<rdkit.Chem.rdchem.Mol object at 0x16c028dd0>,Cc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____2562700____10803818,374.4,4.064376383333333,8,6,3,167,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ecf20>,<rdkit.Chem.rdchem.Mol object at 0x3030f3a70>
<rdkit.Chem.rdchem.Mol object at 0x17767f990>,Cc1ccccc1OC(C)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____6010504____10803818,374.4,4.420991668999999,7,6,3,735,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ed000>,<rdkit.Chem.rdchem.Mol object at 0x3030f3ae0>
<rdkit.Chem.rdchem.Mol object at 0x17763b530>,Cc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)nc1,s_27____25522668____10803818,361.4,3.3812017473333333,7,7,3,599,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ed070>,<rdkit.Chem.rdchem.Mol object at 0x3030f3b50>
<rdkit.Chem.rdchem.Mol object at 0x300149c40>,Cc1ccc(OC(C)CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____6079216____10803818,374.4,4.420991668999999,7,6,3,1103,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ecf90>,<rdkit.Chem.rdchem.Mol object at 0x3030f3bc0>
<rdkit.Chem.rdchem.Mol object at 0x17769ec70>,Cc1ccc(OCC(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____2163278____10803818,374.4,4.420991668999999,7,6,3,788,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ed0e0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3c30>
<rdkit.Chem.rdchem.Mol object at 0x16c047300>,Cc1ccccc1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671930____10803818,374.4,4.420991668999999,7,6,3,272,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ed150>,<rdkit.Chem.rdchem.Mol object at 0x3030f3ca0>
<rdkit.Chem.rdchem.Mol object at 0x300168ba0>,Cc1cc(C)cc(OCC(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____25526476____10803818,388.5,4.934413058333334,7,6,3,1150,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ed1c0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3d10>
<rdkit.Chem.rdchem.Mol object at 0x16c047140>,Cc1cccc(C)c1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____19505120____10803818,388.5,4.934413058333334,7,6,3,270,0.72,<rdkit.Chem.rdchem.Mol object at 0x3030ed310>,<rdkit.Chem.rdchem.Mol object at 0x3030f3df0>
<rdkit.Chem.rdchem.Mol object at 0x3001f4120>,Clc1cncc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)n1,s_27____25541468____10803818,396.8,2.5342895233333333,8,8,3,1400,0.7169811320754716,<rdkit.Chem.rdchem.Mol object at 0x3030ed3f0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3a00>
<rdkit.Chem.rdchem.Mol object at 0x1776380b0>,CC(COc1ccc(Cl)cc1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25545806____10803818,394.9,4.511614956,7,6,3,546,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed460>,<rdkit.Chem.rdchem.Mol object at 0x3030f3e60>
<rdkit.Chem.rdchem.Mol object at 0x30012f840>,CC(COc1ccc(F)cc1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1199228____10803818,378.4,4.050272216,7,6,3,1069,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed4d0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3d80>
<rdkit.Chem.rdchem.Mol object at 0x16c08cf90>,C[C@@H](COc1c(F)cccc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____11984638____10803818,396.4,4.192974152333333,7,6,3,367,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed540>,<rdkit.Chem.rdchem.Mol object at 0x3030f3ed0>
<rdkit.Chem.rdchem.Mol object at 0x16c0a89e0>,CC(COc1cccc(F)c1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671938____10803818,378.4,4.050272216,7,6,3,426,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed5b0>,<rdkit.Chem.rdchem.Mol object at 0x3030f3f40>
<rdkit.Chem.rdchem.Mol object at 0x30018a9d0>,CC(COc1ccccc1Cl)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25541756____10803818,394.9,4.511614956,7,6,3,1247,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed620>,<rdkit.Chem.rdchem.Mol object at 0x3030f1380>
<rdkit.Chem.rdchem.Mol object at 0x17763b1b0>,CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)Oc1ccc(Cl)cc1,s_27____6201730____10803818,394.9,4.511614956,7,6,3,595,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed690>,<rdkit.Chem.rdchem.Mol object at 0x3150b4120>
<rdkit.Chem.rdchem.Mol object at 0x1776c4970>,Clc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)nc1,s_27____7105934____10803818,381.8,3.4718250343333334,7,7,3,819,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed700>,<rdkit.Chem.rdchem.Mol object at 0x3150b4190>
<rdkit.Chem.rdchem.Mol object at 0x16c08f680>,CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)Oc1ccc(F)cc1,s_27____6079814____10803818,378.4,4.050272216,7,6,3,408,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed770>,<rdkit.Chem.rdchem.Mol object at 0x3150b4200>
<rdkit.Chem.rdchem.Mol object at 0x3001cc6d0>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COc1ccc(F)cc1,s_27____1323120____10803818,394.4,3.0033622493333336,8,7,4,1340,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed7e0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4270>
<rdkit.Chem.rdchem.Mol object at 0x16c005620>,Fc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____2262016____10803818,378.4,3.693656930333333,8,6,3,110,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed850>,<rdkit.Chem.rdchem.Mol object at 0x3150b42e0>
<rdkit.Chem.rdchem.Mol object at 0x16c0695b0>,CC(COc1ccccc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671934____10803818,378.4,4.050272216,7,6,3,307,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed8c0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4350>
<rdkit.Chem.rdchem.Mol object at 0x3001cdfc0>,CC(COc1ccc(F)cc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671932____10803818,396.4,4.192974152333333,7,6,3,1365,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed930>,<rdkit.Chem.rdchem.Mol object at 0x3150b43c0>
<rdkit.Chem.rdchem.Mol object at 0x177619bd0>,CC(COc1cccc(Cl)c1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25545808____10803818,394.9,4.511614956,7,6,3,508,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed9a0>,<rdkit.Chem.rdchem.Mol object at 0x3030f06d0>
<rdkit.Chem.rdchem.Mol object at 0x17767ece0>,c1ccc(Nc2nc(NCc3ccc(OC4CCNC4)nc3)nc3nc[nH]c23)cc1,s_270166____16815796____17625750,402.5,2.1771951361452384,7,8,4,721,0.7037037037037037,<rdkit.Chem.rdchem.Mol object at 0x3030eda10>,<rdkit.Chem.rdchem.Mol object at 0x3150b40b0>
<rdkit.Chem.rdchem.Mol object at 0x16c0a8900>,C=CCCCCC(O)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25524520____10803818,352.4,3.5702277293333324,10,6,4,425,0.7021276595744681,<rdkit.Chem.rdchem.Mol object at 0x3030eda80>,<rdkit.Chem.rdchem.Mol object at 0x3150b44a0>
<rdkit.Chem.rdchem.Mol object at 0x16c005230>,c1ccc(Nc2nc(NC3COc4ccccc4C3)nc3nc[nH]c23)cc1,s_27____25523550____10803818,358.4,3.590650831333333,4,6,3,106,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edaf0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4510>
<rdkit.Chem.rdchem.Mol object at 0x3001687b0>,c1ccc(Nc2nc(NC[C@H]3CCc4ccccc4O3)nc3nc[nH]c23)cc1,s_27____21415768____10803818,372.4,4.035219496333333,5,6,3,1146,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edb60>,<rdkit.Chem.rdchem.Mol object at 0x3150b4580>
<rdkit.Chem.rdchem.Mol object at 0x17765bb50>,c1ccc(Nc2nc(NCc3ccnc(OC4CCC4)c3)nc3nc[nH]c23)cc1,s_27____18539502____10803818,387.4,3.7006658043333336,7,7,3,672,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edbd0>,<rdkit.Chem.rdchem.Mol object at 0x3150b45f0>
<rdkit.Chem.rdchem.Mol object at 0x1776c69d0>,c1ccc(Nc2nc(NCc3ccc(OC4CCCC4)nc3)nc3nc[nH]c23)cc1,s_27____885670____10803818,401.5,4.145234469333333,7,7,3,854,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edc40>,<rdkit.Chem.rdchem.Mol object at 0x3150b4660>
